State,City,Percent_None,Percent_High School,Percent_Associates,Percent_Bachelors,Percent_Graduate
Virginia,Waynesboro,15.09,38.5,27.99,11.74,6.68
Virginia,Waverly,26.86,39.96,24.09,6.88,2.2
Virginia,Warrenton,7.37,27.39,29.77,18.78,16.69
Virginia,Virginia Beach,6.67,22.37,37.11,22.17,11.68
Virginia,Rocky Mount,26.59,31.96,26.05,9.24,6.16
Virginia,Vinton,13.78,35.91,28.94,17.18,4.19
Virginia,Victoria,24.46,32.91,30.82,8.68,3.14
Virginia,Timberville,19.75,41.69,22.53,10.76,5.26
Virginia,Tazewell,18.05,35.42,26.14,11.85,8.54
Virginia,Tappahannock,23.59,33.66,23.79,13.33,5.62
Virginia,Suffolk,12.48,28.25,32.87,16.41,9.98
Virginia,Strasburg,9.78,40.16,30.56,12.25,7.26
Virginia,Stephens City,13.14,30.71,33.0,13.37,9.78
Virginia,Staunton,12.79,30.93,24.95,18.78,12.55
Virginia,South Hill,18.3,27.53,33.33,10.67,10.16
Virginia,South Boston,17.36,33.59,28.43,15.22,5.4
Virginia,Smithfield,10.66,25.64,31.0,19.46,13.24
Virginia,Shenandoah,24.27,45.47,22.62,5.92,1.72
Virginia,Vienna,5.51,10.6,17.42,32.14,34.34
Virginia,Luray,23.74,38.38,20.05,10.55,7.28
Virginia,St. Paul,20.15,22.24,30.71,22.24,4.67
Virginia,Lexington,20.01,18.05,18.1,22.45,21.39
Virginia,Covington,16.75,43.49,30.48,6.01,3.27
Virginia,Colonial Heights,12.08,35.2,31.01,13.69,8.02
Virginia,Colonial Beach,20.68,40.71,18.39,12.39,7.82
Virginia,Coeburn,26.08,32.55,29.58,6.6,5.19
Virginia,Clintwood,19.44,27.03,32.55,12.3,8.68
Virginia,Clifton Forge,18.23,35.56,31.86,8.35,5.99
Virginia,Christiansburg,6.78,22.21,28.83,25.8,16.38
Virginia,Chincoteague,12.83,34.23,25.91,11.93,15.1
Virginia,Chilhowie,16.08,46.97,23.14,8.27,5.54
Virginia,Chesapeake,8.91,26.48,34.99,18.78,10.84
Virginia,Chase City,26.38,38.61,24.0,6.32,4.69
Virginia,Charlottesville,9.8,22.2,18.2,23.29,26.5
Virginia,Crewe,19.83,30.24,29.68,14.68,5.58
Virginia,Cape Charles,15.75,20.73,24.23,23.69,15.61
Virginia,Brookneal,19.44,40.44,29.89,8.56,1.67
Virginia,Bristol,17.55,32.77,26.34,16.09,7.26
Virginia,Bridgewater,8.91,33.59,20.97,21.17,15.37
Virginia,Bluefield,15.92,27.73,35.6,14.14,6.6
Virginia,Big Stone Gap,30.08,28.67,25.58,10.44,5.22
Virginia,Bedford,17.37,35.35,27.23,14.19,5.85
Virginia,Ashland,15.86,34.35,27.15,11.99,10.65
Virginia,Appalachia,23.71,29.48,31.5,9.89,5.42
Virginia,Altavista,20.25,38.72,21.33,13.29,6.41
Virginia,Alexandria,8.48,12.14,18.02,29.83,31.54
Virginia,Abingdon,15.03,25.85,27.47,18.3,13.35
Virginia,Louisa,19.84,35.23,25.95,11.79,7.19
Virginia,Buena Vista,18.14,40.5,24.91,10.98,5.46
Virginia,Culpeper,17.89,31.54,28.2,15.59,6.78
Virginia,Blackstone,20.94,34.95,23.71,12.95,7.45
Virginia,Danville,21.32,28.09,32.73,11.31,6.55
Virginia,Damascus,28.8,20.47,34.06,13.77,2.9
Virginia,Leesburg,10.27,16.76,23.63,31.28,18.07
Virginia,Lebanon,18.78,32.07,29.98,12.01,7.17
Virginia,Lawrenceville,22.27,26.93,26.06,16.16,8.59
Virginia,Hurt,13.8,34.14,32.93,14.3,4.83
Virginia,Hillsville,21.5,30.22,30.85,11.67,5.76
Virginia,Haymarket,6.85,13.2,32.66,32.49,14.81
Virginia,Harrisonburg,15.93,26.5,21.8,20.55,15.21
Virginia,Hampton,10.13,27.32,39.34,14.87,8.34
Virginia,Grottoes,16.34,51.26,22.91,7.89,1.6
Virginia,Gretna,25.27,34.15,28.37,6.53,5.67
Virginia,Gordonsville,24.96,28.72,31.44,7.71,7.18
Virginia,Gate City,22.15,28.37,35.69,10.01,3.78
Virginia,Hopewell,19.06,38.31,30.28,8.1,4.24
Virginia,Front Royal,18.73,35.95,28.61,11.43,5.28
Virginia,Galax,27.65,33.66,27.11,8.21,3.37
Virginia,Dublin,17.76,33.62,36.47,8.3,3.86
Virginia,Dumfries,24.67,30.31,29.98,9.66,5.38
Virginia,Dayton,11.38,29.57,26.59,23.62,8.84
Virginia,Emporia,25.32,32.6,23.99,10.48,7.61
Virginia,Exmore,36.42,36.06,21.25,3.36,2.91
Virginia,Elkton,17.97,38.29,26.12,12.73,4.89
Virginia,Falls Church,2.3,7.52,11.4,34.41,44.36
Virginia,Farmville,10.26,35.95,21.47,16.92,15.4
Virginia,Franklin,19.79,24.87,29.12,16.12,10.1
Virginia,Fredericksburg,9.02,26.93,26.71,21.22,16.12
