,Location,none,high_school,associate,bachelor,graduate
93,"Wytheville, Virginia",21.65,32.82,25.67,12.12,7.75
94,"Woodstock, Virginia",18.17,30.35,32.95,14.35,4.18
95,"Wise, Virginia",15.05,28.91,33.14,14.39,8.52
96,"Windsor, Virginia",18.03,39.22,28.1,11.6,3.05
97,"Winchester, Virginia",15.81,30.35,25.57,15.32,12.95
98,"Williamsburg, Virginia",8.31,15.53,23.73,27.09,25.34
99,"West Point, Virginia",8.53,37.51,28.43,18.67,6.87
100,"Weber City, Virginia",25.09,38.35,26.5,5.36,4.7
101,"Waynesboro, Virginia",15.09,38.5,27.99,11.74,6.68
102,"Waverly, Virginia",26.86,39.96,24.09,6.88,2.2
103,"Warrenton, Virginia",7.37,27.39,29.77,18.78,16.69
104,"Virginia Beach, Virginia",6.67,22.37,37.11,22.17,11.68
105,"Rocky Mount, Virginia",26.59,31.96,26.05,9.24,6.16
106,"Vinton, Virginia",13.78,35.91,28.94,17.18,4.19
107,"Victoria, Virginia",24.46,32.91,30.82,8.68,3.14
108,"Timberville, Virginia",19.75,41.69,22.53,10.76,5.26
109,"Tazewell, Virginia",18.05,35.42,26.14,11.85,8.54
110,"Tappahannock, Virginia",23.59,33.66,23.79,13.33,5.62
111,"Suffolk, Virginia",12.48,28.25,32.87,16.41,9.98
112,"Strasburg, Virginia",9.78,40.16,30.56,12.25,7.26
113,"Stephens City, Virginia",13.14,30.71,33.0,13.37,9.78
114,"Staunton, Virginia",12.79,30.93,24.95,18.78,12.55
115,"South Hill, Virginia",18.3,27.53,33.33,10.67,10.16
116,"South Boston, Virginia",17.36,33.59,28.43,15.22,5.4
117,"Smithfield, Virginia",10.66,25.64,31.0,19.46,13.24
118,"Shenandoah, Virginia",24.27,45.47,22.62,5.92,1.72
119,"Vienna, Virginia",5.51,10.6,17.42,32.14,34.34
120,"Luray, Virginia",23.74,38.38,20.05,10.55,7.28
121,"St. Paul, Virginia",20.15,22.24,30.71,22.24,4.67
122,"Lexington, Virginia",20.01,18.05,18.1,22.45,21.39
123,"Covington, Virginia",16.75,43.49,30.48,6.01,3.27
124,"Colonial Heights, Virginia",12.08,35.2,31.01,13.69,8.02
125,"Colonial Beach, Virginia",20.68,40.71,18.39,12.39,7.82
126,"Coeburn, Virginia",26.08,32.55,29.58,6.6,5.19
127,"Clintwood, Virginia",19.44,27.03,32.55,12.3,8.68
128,"Clifton Forge, Virginia",18.23,35.56,31.86,8.35,5.99
129,"Christiansburg, Virginia",6.78,22.21,28.83,25.8,16.38
130,"Chincoteague, Virginia",12.83,34.23,25.91,11.93,15.1
131,"Chilhowie, Virginia",16.08,46.97,23.14,8.27,5.54
132,"Chesapeake, Virginia",8.91,26.48,34.99,18.78,10.84
133,"Chase City, Virginia",26.38,38.61,24.0,6.32,4.69
134,"Charlottesville, Virginia",9.8,22.2,18.2,23.29,26.5
135,"Crewe, Virginia",19.83,30.24,29.68,14.68,5.58
