,Location,Blacks,Asians,Native_Hawaiian/Pacific_Islanders,Whites,Hispanic/Latinos,American_Indian/Alaskan_Natives,Two_or_Mores,Others
0,"La Plata, Maryland",26.21,2.63,0.0,62.49,3.85,1.03,3.48,0.31
1,"Mount Rainier, Maryland",35.92,0.93,0.0,12.03,31.97,0.17,3.74,15.25
2,"Laurel, Maryland",46.17,7.46,0.0,20.6,15.23,0.64,2.95,6.96
3,"Westminster, Maryland",7.25,2.18,0.0,80.79,6.46,0.3,2.49,0.53
4,"Manchester, Maryland",2.32,1.97,0.0,92.16,1.53,0.0,2.03,0.0
5,"Landover Hills, Maryland",34.04,1.57,0.0,12.47,32.93,0.0,7.21,11.78
6,"Hampstead, Maryland",0.95,0.23,0.0,95.01,2.14,0.0,1.66,0.0
7,"Hurlock, Maryland",25.7,0.97,0.0,50.87,11.21,0.0,6.09,5.17
8,"Havre de Grace, Maryland",16.38,3.9,0.0,71.06,4.45,0.75,2.86,0.59
9,"Hagerstown, Maryland",18.04,2.62,0.06,66.28,5.83,0.32,5.91,0.94
10,"New Carrollton, Maryland",61.57,2.88,0.0,8.0,17.64,0.51,3.6,5.8
11,"Greensboro, Maryland",10.12,0.1,0.0,75.16,6.95,1.77,2.59,3.31
12,"Hyattsville, Maryland",27.23,3.58,0.0,18.0,27.64,0.45,3.05,20.06
13,"North East, Maryland",8.97,0.51,0.0,87.32,2.38,0.32,0.0,0.49
14,"Taneytown, Maryland",4.37,2.24,0.0,85.85,3.11,0.18,3.56,0.69
15,"Perryville, Maryland",11.13,4.81,0.0,65.24,10.46,0.13,6.27,1.96
16,"Pocomoke City, Maryland",49.7,2.75,0.0,44.42,0.5,0.26,2.37,0.0
17,"Princess Anne, Maryland",55.03,0.66,0.0,31.8,4.65,0.0,7.83,0.03
18,"Ridgely, Maryland",13.7,0.0,0.0,75.13,5.98,0.0,4.61,0.58
19,"Riverdale Park, Maryland",22.87,4.27,0.0,15.96,46.97,2.43,1.73,5.77
20,"Salisbury, Maryland",34.6,3.38,0.06,49.6,6.8,0.24,3.21,2.11
21,"Seat Pleasant, Maryland",88.55,0.0,0.0,0.85,7.68,0.0,2.93,0.0
22,"Smithsburg, Maryland",3.41,0.26,0.0,89.75,3.54,0.0,2.27,0.78
23,"Snow Hill, Maryland",36.05,0.0,0.0,57.66,0.51,0.0,5.77,0.0
24,"St. Michaels, Maryland",31.27,0.46,0.0,64.39,3.87,0.0,0.0,0.0
25,"Thurmont, Maryland",0.74,0.68,0.0,92.76,3.72,0.0,1.89,0.22
